"MATERIA";"CURSO";"NIVEL";"DEPARTAMENTO";"NOMBRE";"CREDITOS"
ADMI;"219";PREG;ADMI;PROBLEMAS COLOMBIANOS;3
ADMI;"220";PREG;ADMI;ANALISIS DE INVERSION;3
ADMI;"220";PREG;ADMI;ANALIS. INVERSION FINANC.;3
ADMI;"220";PREG;ADMI;ANALISIS DE INVERSION Y FINANC;3
ADMI;"2204";PREG;FINA;DECISIONES DE INVERSION;3
ADMI;"2204";PREG;FINA;FINANZAS 2: INVERSION;3
ADMI;"2204";PREG;ADMI;ANALIS. INVERSION FINANC.;3
ADMI;"2204";PREG;ADMI;DECISIONES DE INVERSIÓN;3
ADMI;"2204";PREG;ADMI;DECISIONES DE INVERSION;3
ADMI;"2204";PREG;ADMI;FINANZAS 2: INVERSION;3
ADMI;"2205";PREG;ADMI;FINANZ.CORPORAT.MERCADEO;3
ADMI;"2205";PREG;ADMI;FINANZAS CORPORATIVAS;3
ADMI;"2205";PREG;ADMI;FINANZAS 3: ESTRATEGIA;3
ADMI;"2205";PREG;FINA;FINANZAS 3: ESTRATEGIA;3
ADMI;"2205";PREG;ADMI;ELC. FINANZAS 3: ESTRATEGIA;3
ADMI;"2206";PREG;MERC;COMPORTAMIENTO DEL CONSUMIDOR;3
ADMI;"2206";PREG;ADMI;ELC. COMPORTAMIENTO CONSUMIDOR;3
ADMI;"2206";PREG;ADMI;COMPORTAMIENTO DEL CONSUMIDOR;3
ADMI;"2207";PREG;ADMI;COLOMBIA Y SUS INSTITUCIONES;3
ADMI;"2207";PREG;GEST;COLOMBIA Y SUS INSTITUCIONES;3
ADMI;"221";PREG;ADMI;TALLER RESPONSAB. SOCIAL;2
ADMI;"221";PREG;ADMI;TALLER RESPONSABILIDAD SOCIAL;3
ADMI;"221";PREG;ADMI;TALLER RESPONSAB. SOCIAL;3
ADMI;"223";PREG;ADMI;OPTIMIZACION;3
ADMI;"224";PREG;ADMI;SISTEMAS INF. EN MERCADOS;3
ADMI;"224";PREG;ADMI;SISTEM.INFORMAC. EN MERCADOS;3
ADMI;"224";PREG;ADMI;SISTEM.INFORMAC.MERCADOS;3
ADMI;"225";PREG;ADMI;OPERACIONES Y LOGISTICA;3
ADMI;"226";PREG;ADMI;ANALISIS  ENTORNO COLOMBIANO;3
ADMI;"226";PREG;ADMI;ANALISIS ENTORNO COLOMBIANO;3
ADMI;"227";PREG;ADMI;FINANZAS CORPORATIVAS;3
ADMI;"227";PREG;ADMI;FINANZ.CORPORAT.MERCADEO;3
ADMI;"227";PREG;ADMI;FINANZAS CORPORATIVAS Y MERCAD;3
ADMI;"227";PREG;ADMI;TOPICOS EN FINANZAS;3
ADMI;"2301";PREG;ADMI;FUNDAMENTOS DE MERCADEO;3
ADMI;"2301";PREG;MERC;FUNDAMENTOS DE MERCADEO;3
ADMI;"2302";PREG;ADMI;INVESTIGACION DE MERCADOS;3
ADMI;"2302";PREG;ADMI;SISTEM.INFORMAC.MERCADOS;3
ADMI;"2302";PREG;MERC;INVESTIGACION DE MERCADOS;3
ADMI;"2302";PREG;ADMI;INVESTIGACIÓN DE MERCADOS;3
ADMI;"2402";PREG;ADMI;MODELOS DE OPTIMIZACION;3
ADMI;"2402";PREG;ADMI;OPTIMIZACION;3
ADMI;"2402";PREG;ESTR;MODELOS DE OPTIMIZACION;3
ADMI;"2403";PREG;ADMI;OPERACIONES Y LOGÍSTICA;3
ADMI;"2403";PREG;ESTR;OPERACIONES Y LOGISTICA;3
ADMI;"2403";PREG;ADMI;OPERACIONES Y LOGISTICA;3
ADMI;"2501";PREG;ADMI;ANALISIS ENTORNO COLOMBIANO;3
ADMI;"2501";PREG;ESTR;ANALISIS ENTORNO COLOMBIANO;3
ADMI;"2501";PREG;ADMI;ANÁLISIS ENTORNO COLOMBIANO;3
ADMI;"2506";PREG;ADMI;ORGANIZACIONES;3
ADMI;"2506C";PREG;ADMI;ORGANIZACIONES (COMPLEMENTARIA;0
ADMI;"2556";PREG;ADMI;HERRAMIENTAS TOMA DECI I  ;3
ADMI;"2556";PREG;ADMI;HERRAMIENTAS TOMA DECI I;3
ADMI;"2557";PREG;ADMI;HERRAMIENTAS TOMA DECI II;3
ADMI;"2605";PREG;ADMI;ORGANIZACIONES;3
ADMI;"2605B";PREG;ADMI;ORGANIZACIONES;3
ADMI;"2605B";PREG;ORGA;ORGANIZACIONES;3
ADMI;"2605C";PREG;ADMI;COMPLEMENTARIA ORGANIZACIONES;0
ADMI;"2801";PREG;ADMI;INTROD.GESTION PUBLICA;3
ADMI;"2801";PREG;ADMI;LA GESTION DE LO PUBLICO;3
ADMI;"2801";PREG;ADMI;LA GESTIÓN DE LO PÚBLICO;3
ADMI;"2801";PREG;GEST;LA GESTION DE LO PUBLICO;3
ADMI;"2801B";PREG;ADMI;LA GESTION DE LO PUBLICO.ANALI;3
ADMI;"2802";PREG;ADMI;GESTION PUBLICA;3
ADMI;"3001";PREG;ADMI;INNOV.ABIERTA INTERDISCIPLINAR;3
ADMI;"301";PREG;ADMI;PROYECTOS DIRIGIDOS;3
ADMI;"302";PREG;ADMI;SIMULACION;3
ADMI;"304";PREG;ADMI;GERENCIA RECURSOS HUMANOS;3
ADMI;"307";PREG;ADMI;ESTRAT Y PRACTICAS DE GER DE R;3
ADMI;"307";PREG;ADMI;INDUSTRIA PETROLERA EN COLOMBI;3
ADMI;"307";PREG;ADMI;CONTROL DE GESTION;3
ADMI;"308";PREG;ADMI;NEGOCIOS ENTORNO GLOBALIZ.;3
ADMI;"308";PREG;ADMI;NEGOCIOS ENTORNO GLOBAL.;3
ADMI;"309";PREG;ADMI;ESTRATEGIA;3
ADMI;"310";PREG;ADMI;TECNOLOGIA EN  LAS ORGANIZAC.;3
ADMI;"310";PREG;ADMI;TECNOLOGIA EN LAS ORGANIZAC.;3
ADMI;"3107";PREG;ADMI;CONSULTORÍA;3
ADMI;"3107";PREG;ADMI;PROYECTOS DIRIGIDOS;3
ADMI;"3107";PREG;GEST;CASOS Y PROYECTOS EN ADMON;3
ADMI;"3107";PREG;ADMI;CASOS Y PROYECTOS EN ADMON;3
ADMI;"3107";PREG;ADMI;CONSULTORIA;3
ADMI;"3107";PREG;GEST;CONSULTORIA;3
ADMI;"3107C";PREG;ADMI;COMPLEMENTARIA CONSULTORÍA;0
ADMI;"3109";PREG;ADMI;PLANES DE NEGOCIOS;3
ADMI;"3109";PREG;GEST;PLANES DE NEGOCIOS;3
ADMI;"3109";PREG;ADMI;ELC. PLANES DE NEGOCIOS;3
ADMI;"311";PREG;ADMI;PROBLEMAS COMPLEJOS;3
ADMI;"3110";PREG;ADMI;EMPRENDIMIENTO E INNOVACION;3
ADMI;"3110";PREG;GEST;EMPRENDIMIENTO E INNOVACION;3
ADMI;"3110";PREG;GEST;CREACION NUEVAS EMPRESAS;3
ADMI;"3110";PREG;ADMI;EMPRENDIMIENTO E INNOVACIÓN;3
ADMI;"3110";PREG;ADMI;CREACION NUEVAS EMPRESAS;3
ADMI;"3111";PREG;ADMI;ASES. A EMPRESARIOS SOCIALES;3
ADMI;"3114";PREG;ADMI;PROYECTO ESPECIAL;3
ADMI;"3115";PREG;ADMI;PROYECTO DE GRADO;3
ADMI;"3115";PREG;GEST;PROYECTO DE GRADO;3
ADMI;"312";PREG;ADMI;NEGOCIOS E INTERNET;3
ADMI;"3122";PREG;ESTR;JUEGO GERENCIAL;3
ADMI;"3122";PREG;ADMI;JUEGO GERENCIAL;3
ADMI;"3122C";PREG;ADMI;COMPLEMENTARIA JUEGO GERENCIAL;0
ADMI;"3123";PREG;ADMI;SEM.PROYECTO GRADO;3
ADMI;"3123";PREG;ADMI;SEM.PROYECTO GRADO;0
ADMI;"3123";PREG;GEST;SEM.PROYECTO GRADO;0
ADMI;"3124";PREG;ADMI;COOPERACION Y DESARR.SOSTENIBL;3
ADMI;"3125";PREG;ADMI;MERCADOS VERDES;3
ADMI;"3125";PREG;MERC;MERCADOS VERDES;3
ADMI;"3126";PREG;ADMI;POLITICA AMBIENTAL;3
ADMI;"3127";PREG;ADMI;COMPETITIVIDAD Y CLUSTERS;3
ADMI;"3128";PREG;ADMI;ELC. GESTION CULT:NOC. BÁSICAS;3
ADMI;"3128";PREG;ADMI;GESTION CULTURAL;3
ADMI;"3128";PREG;ADMI;GESTIÓN CULT: NOCIONES BÁSICAS;3
ADMI;"3128";PREG;ADMI;GESTION CULT: NOCIONES BASICAS;3
ADMI;"3128B";PREG;GEST;GESTION CULTURAL;3
ADMI;"3128B";PREG;GEST;GESTIÓN CULT.:NOCIONES BÁSICAS;3
ADMI;"3128B";PREG;ADMI;GESTIÓN CULT.:NOCIONES BÁSICAS;3
ADMI;"3128B";PREG;GEST;GESTION CULT.:NOCIONES BASICAS;3
ADMI;"3128B";PREG;ADMI;GESTION CULTURAL;3
ADMI;"3129";PREG;ADMI;RECURSOS HUMANOS Y OGANIZACIO;3
ADMI;"313";PREG;ADMI;GERENC.INTERNAC.RECUR.HUMAN.;3
ADMI;"313";PREG;ADMI;GCIA.INTERNAL.REC.HUMANOS;3
ADMI;"3130";PREG;ADMI;ORGANIZACIONES:COMO SON Y CAMB;3
ADMI;"3131";PREG;ADMI;INICIATIV.MDO CIUDA.BAJOS INGR;3
ADMI;"3132";PREG;ADMI;SUPPLY MANAGEMENT;3
ADMI;"3132";PREG;ADMI;STRATEGIC PROCUREMENT;3
ADMI;"3133";PREG;ADMI;GERENCIA AMBIENTAL;3
ADMI;"3133";PREG;ADMI;MANAGEMENT CIRCULAR ECONOMY;3
ADMI;"3133";PREG;ADMI;ELC. GCIA.AMBIENTAL-VMP;3
ADMI;"3133B";PREG;ADMI;GERENCIA AMBIENTAL;3
ADMI;"3134";PREG;ADMI;CRISIS COYUNTURA MACROECONÓMIC;3
ADMI;"3134B";PREG;ADMI;CAMBIO CLIMATICO Y EMPRESA;3
ADMI;"3135";PREG;ADMI;ESTRATEGIAS DE INTERNACIONALIZ;3
ADMI;"3135B";PREG;ADMI;CINE MEDIO AMBIENTE Y SOCIEDAD;3
ADMI;"3136";PREG;ADMI;ALIMENTOS, PERMACULT, FOOD DES;3
ADMI;"3137";PREG;ADMI;MODELOS DE LIDERAZGO;3
ADMI;"3137";PREG;ADMI;LIDERAZGO;3
ADMI;"3138";PREG;ADMI;EMPRESAS FAMILIA:CIELO-INFIERN;3
ADMI;"3138";PREG;ADMI;ELC. EMPRESAS DE FAMILIA;3
ADMI;"3139";PREG;ADMI;EMPREND LIDERES INNOVADOR GLOB;3
ADMI;"3139";PREG;ADMI;EMPREND LÍDERES INNOVADOR GLOB;3
ADMI;"3140";PREG;ADMI;INDUSTRIA Y GESTIÓN DEL CINE;3
ADMI;"3141";PREG;ADMI;GESTIÓN DE INCENTIVOS;3
ADMI;"3142";PREG;ADMI;CINE MEDIO AMBIENTE Y SOCIEDAD;3
ADMI;"316";PREG;ADMI;GLOBALIZACION E INTERNAC DE EM;3
ADMI;"317";PREG;ADMI;NEGOCIAR CON JAPON Y CHINA;3
ADMI;"317";PREG;ADMI;NEGOCIAR CON JAPON;3
ADMI;"318";PREG;ADMI;COMERC.INTERN.LOGIST.GLOBAL;3
ADMI;"318";PREG;ADMI;LOGISTICA GLOBAL;3
ADMI;"319";PREG;ADMI;SISTEMA MUNDIAL COMERC. Y ALCA;3
ADMI;"3190";PREG;ADMI;MODELO DE NEGOCIOS SOSTENIBLES;3
ADMI;"3191";PREG;ADMI;ELECTIVA AREA GESTION 1;3
ADMI;"3192";PREG;ADMI;ELECTIVA AREA GESTION 2;3
ADMI;"3193";PREG;ADMI;ELECTIVA AREA GESTION 3;3
ADMI;"3194";PREG;ADMI;ELECTIVA AREA GESTION 4;3
ADMI;"3195";PREG;ADMI;ELECTIVA AREA GESTION 5;3
ADMI;"3196";PREG;ADMI;ELECTIVA AREA GESTION 6;3
ADMI;"3197";PREG;ADMI;ELECTIVA AREA GESTION 7;3
ADMI;"320";PREG;ADMI;MEDICION Y GESTION DE VALORES;3
ADMI;"320";PREG;ADMI;VALORACION DE EMPRESAS;3
ADMI;"3200";PREG;ADMI;OPCIÓN DE GRADO;3
ADMI;"3200";PREG;ADMI;OPCION DE GRADO;3
ADMI;"3201";PREG;ADMI;ELECTIVA AREA FINANZAS;3
ADMI;"3202";PREG;ADMI;INVERS.TRADIC. VEHIC.INVERSIÓN;3
ADMI;"3202";PREG;ADMI;ELC. INVER.TRADIC.VEHIC.INVER.;3
ADMI;"3203";PREG;ADMI;ELC. FINANCIACIÓN SOSTENIBLE;3
ADMI;"3203";PREG;ADMI;ELC. FINANZAS SOSTENIBLES;3
ADMI;"3204";PREG;ADMI;INTR. FINANZAS CUANTITATIVAS;3
ADMI;"3205";PREG;ADMI;FINANZAS PERSONALES;3
ADMI;"3205";PREG;ADMI;ELC. FINANZAS PERSONALES;3
ADMI;"3206";PREG;FINA;VALORACION DE EMPRESAS;3
ADMI;"3206";PREG;ADMI;VALORACION DE EMPRESAS;3
ADMI;"3207";PREG;ADMI;ELC. MERCADO DE CAPITALES;3
ADMI;"3207";PREG;ADMI;MERCADO DE CAPITALES;3
ADMI;"3207";PREG;FINA;MERCADO DE CAPITALES;3
ADMI;"3208";PREG;ADMI;GESTION INSTITUC. FINANCIERAS;3
ADMI;"3208";PREG;ADMI;ELECTIVA GESTIÓN DE RIESGOS;3
ADMI;"3208";PREG;ADMI;ELC. GESTION INST. FINANCIERAS;3
ADMI;"3209";PREG;ADMI;FINANZAS INTERNACIONALES;3
ADMI;"321";PREG;ADMI;MERCADO DE CAPITALES;3
ADMI;"3210";PREG;ADMI;MERCADOS DERIVADOS;3
ADMI;"3210";PREG;FINA;MERCADOS DERIVADOS;3
ADMI;"3210";PREG;ADMI;ELC. MERCADOS DERIVADOS;3
ADMI;"3211";PREG;ADMI;ELC. SENSING CONSUMERS JOURNEY;3
ADMI;"3211";PREG;ADMI;SENSING THE CONSUMER'S JOURNEY;3
ADMI;"3212";PREG;ADMI;BUKENROAD REPORT: ANALISIS EMP;3
ADMI;"3213";PREG;ADMI;GERENCIA FINANZAS PUBLICAS;3
ADMI;"3214";PREG;ADMI;TRADING GAME;3
ADMI;"3215";PREG;ADMI;MODELAJE FINANCIERO;3
ADMI;"3216";PREG;ADMI;FINANZAS Y MEDI O AMBIENTE;3
ADMI;"3216";PREG;ADMI;FINANZAS Y MEDIO AMBIENTE;3
ADMI;"3217";PREG;ADMI;ADQUISICION EMPRESAS FAMILIARE;3
ADMI;"3218";PREG;ADMI;ADQUISICION Y VTA DE EMPRESAS;3
ADMI;"3219";PREG;ADMI;MICROFINANZAS;3
ADMI;"322";PREG;ADMI;GESTION INSTITUC. FINANCIERAS;3
ADMI;"322";PREG;ADMI;GESTION EN EMPRESAS FINANCIERA;3
ADMI;"3220";PREG;ADMI;MODELAJE FINANCIERO;3
ADMI;"3221";PREG;ADMI;EMPRESAS DE FAMILIA;3
ADMI;"3221";PREG;ADMI;ESTRATEGIAS DE INTERNACIONALIZ;3
ADMI;"3222";PREG;ADMI;ETICA DE LOS NEGOCIOS: ¿UN OXI;3
ADMI;"3223";PREG;ADMI;LAS FINANZAS EN LA HISTORIA;3
ADMI;"3223B";PREG;ADMI;LAS FINANZAS EN LA HISTORIA;3
ADMI;"3224";PREG;ADMI;GERENCIA DE RETAIL;3
ADMI;"3224";PREG;ADMI;RETAIL MANAGEMENT;3
ADMI;"3225";PREG;ADMI;DESIGN AND BRANDING;3
ADMI;"3226";PREG;ADMI;THE EMERGENCE OF GLOBAL MANAGE;3
ADMI;"3227";PREG;ADMI;BUSINESS AND MANAG FOOTBALL IN;3
ADMI;"3228";PREG;ADMI;INTERNATIONAL FINANCE;3
ADMI;"3229";PREG;ADMI;GLOBAL ENTREPRENEURSHIP;3
ADMI;"323";PREG;ADMI;VALORACION DE ACTIVOS FINANC.;3
ADMI;"323";PREG;ADMI;FINANZAS INTERNACIONALES;3
ADMI;"3230";PREG;ADMI;CASOS EN FINANZAS;3
ADMI;"3231";PREG;ADMI;ADVERTISING MANAGEMENT;3
ADMI;"3232";PREG;ADMI;ORGANIZATIONAL SOCIAL NETWORKS;3
ADMI;"3233";PREG;ADMI;MANAGING DIVERSITY INCLUSION;3
ADMI;"3234";PREG;ADMI;BANKING REGULATION SUPERVISION;4
ADMI;"3234";PREG;ADMI;BANKING REGULATION SUPERVISION;3
ADMI;"3235";PREG;ADMI;ECONOMICS FOR BUSINESS EXECUTI;3
ADMI;"3236";PREG;ADMI;ORGANIZACIÓN INDUSTRIAL Y TOMA;3
ADMI;"3237";PREG;ADMI;MARKETING COMMUNICATIONS;3
ADMI;"3237";PREG;ADMI;ELC. MKTG.COMMUNICATIONS-ESPA;3
ADMI;"3238";PREG;ADMI;MERCADEO VERDE;3
ADMI;"3240";PREG;ADMI;ASSET MANAGEMENT;3
ADMI;"3240";PREG;ADMI;GERENCIA  ACTIVOS FINANCIEROS;3
ADMI;"3241";PREG;ADMI;ELC. TECH-CHALLENGE INNOVACIÓN;3
ADMI;"3241";PREG;ADMI;ELC. TECH-CHALLENGE INNOVACIÓN;4
ADMI;"325";PREG;ADMI;MERCADOS DERIVADOS;3
ADMI;"3256";PREG;ADMI;LAS FINANZAS EN LA HISTORIA;3
ADMI;"327";PREG;ADMI;PORTAFOLIO RENTA FIJA;3
ADMI;"328";PREG;ADMI;BUKENROAD REPORT: ANALISIS EMP;3
ADMI;"329";PREG;ADMI;BUSINESS INTELLIGENCE;3
ADMI;"329";PREG;ADMI;MATEMATICAS AVANZADAS EN FIN;3
ADMI;"3291";PREG;ADMI;ELECTIVA AREA FINANZAS 1;3
ADMI;"3292";PREG;ADMI;ELECTIVA AREA FINANZAS 2;3
ADMI;"3293";PREG;ADMI;ELECTIVA AREA FINANZAS 3;3
ADMI;"3294";PREG;ADMI;ELECTIVA AREA FINANZAS 4;3
ADMI;"3295";PREG;ADMI;ELECTIVA AREA FINANZAS 5;3
ADMI;"3296";PREG;ADMI;ELECTIVA AREA FINANZAS 6;3
ADMI;"3297";PREG;ADMI;ELECTIVA AREA FINANZAS 7;3
ADMI;"330";PREG;ADMI;MERCADEO E INTERNET;3
ADMI;"330";PREG;ADMI;MARKETING COMMUNICATIONS;3
ADMI;"3303";PREG;ADMI;NEGOCIOS E INTERNET;3
ADMI;"3304";PREG;ADMI;MARKETING COMMUNICATIONS;3
ADMI;"3305";PREG;ADMI;GOBERNANZA EMPRESARIAL;3
ADMI;"3305";PREG;ADMI;ELC. GOBERNANZA EMPRESARIAL;3
ADMI;"3306";PREG;ADMI;MERCADEO ADMON EMP DE SERVICIO;3
ADMI;"3307";PREG;ADMI;MERCADEO DE MARCAS DE LUJO;3
ADMI;"3308";PREG;ADMI;CANALES DE DISTRIBUCION;3
ADMI;"3308";PREG;MERC;CANALES DE DISTRIBUCION;3
ADMI;"3309";PREG;ADMI;ECOLOGIA INDUSTRIAL;3
ADMI;"331";PREG;ADMI;THE VISUAL IMAGE;3
ADMI;"3310";PREG;ADMI;FINANZAS AMBIENTALES;3
ADMI;"3311";PREG;ADMI;EMPRENDIMIENTO MERCADEO INTERN;3
ADMI;"3311";PREG;MERC;EMPRENDIMIENTO MERCADEO INTERN;3
ADMI;"3311";PREG;ADMI;MERCADEO INTERNACIONAL;3
ADMI;"3312";PREG;ADMI;FINANZAS INTERNACIONALES;3
ADMI;"3313";PREG;ADMI;SALES AND DISTRIBUTION MANAGEM;3
ADMI;"3314";PREG;ADMI;MERC BANCARIO Y DE INST FINANC;3
ADMI;"3315";PREG;MERC;GERENCIA DE VENTAS;3
ADMI;"3315";PREG;ADMI;GERENCIA DE VENTAS;3
ADMI;"3316";PREG;ADMI;INVESTIGACION DEL CONSUMIDOR;3
ADMI;"3317";PREG;ADMI;MERCADEO E INTERNET;3
ADMI;"3317";PREG;MERC;MERCADEO E INTERNET;3
ADMI;"3319";PREG;ADMI;MARKETING GENERACIONAL;3
ADMI;"332";PREG;ADMI;PROD Y PRECIOS:ESTRAT.CLAV MDO;3
ADMI;"332";PREG;ADMI;INTERNACI. & GLOBALIZACION EMP;3
ADMI;"332";PREG;ADMI;ADMIN. PRODUCTOS Y PRECIOS;3
ADMI;"3320";PREG;ADMI;TECNOLOGÍAS PARA EL MERCADEO;3
ADMI;"3321";PREG;ADMI;PLANES DE MERCADEO;3
ADMI;"3322";PREG;ADMI;MARKETING POLITICO;3
ADMI;"3323";PREG;ADMI;GERENCIA SOCIAL;3
ADMI;"3324";PREG;ADMI;BATALLA POR LA ECONOM. MUNDIAL;3
ADMI;"3325";PREG;ADMI;PROJECT MANAGEMENT;3
ADMI;"3326";PREG;ADMI;COMO NEGOCIAR CON CHINA;3
ADMI;"3326";PREG;ESTR;COMO NEGOCIAR CON CHINA;3
ADMI;"3327";PREG;FINA;OPCIONES REALES;3
ADMI;"3327";PREG;ADMI;OPCIONES REALES;3
ADMI;"3328";PREG;ADMI;TRADE MARKETING;3
ADMI;"3329";PREG;ADMI;NEGOCIOS EN AFRICA;3
ADMI;"333";PREG;ADMI;MERCADEO ADMON EMP DE SERVICIO;3
ADMI;"333";PREG;ADMI;MERCADEO EMPRESAS DE SERVICIOS;3
